epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
172,1.198,0.539,1.332,0.889,0.945,0.946,0.600
173,1.189,0.539,1.330,0.889,0.945,0.947,0.600
174,1.196,0.541,1.328,0.889,0.944,0.947,0.600
175,1.195,0.536,1.325,0.891,0.943,0.947,0.600
176,1.199,0.538,1.330,0.893,0.943,0.947,0.601
177,1.189,0.536,1.324,0.892,0.943,0.947,0.601
178,1.191,0.536,1.322,0.892,0.944,0.946,0.601
179,1.188,0.533,1.323,0.891,0.944,0.946,0.601
180,1.190,0.537,1.323,0.892,0.944,0.946,0.601
181,1.187,0.535,1.321,0.893,0.944,0.946,0.601
182,1.191,0.533,1.326,0.893,0.944,0.946,0.601
183,1.195,0.539,1.328,0.892,0.945,0.946,0.600
184,1.177,0.529,1.316,0.892,0.945,0.946,0.600
185,1.189,0.534,1.327,0.892,0.945,0.945,0.601
186,1.183,0.530,1.318,0.895,0.943,0.946,0.601
187,1.187,0.527,1.322,0.895,0.943,0.946,0.601
188,1.182,0.532,1.318,0.895,0.942,0.946,0.601
189,1.181,0.530,1.321,0.895,0.942,0.946,0.602
190,1.179,0.525,1.322,0.895,0.943,0.946,0.602
191,1.178,0.530,1.320,0.896,0.943,0.946,0.601
192,1.178,0.525,1.318,0.896,0.943,0.946,0.601
193,1.180,0.525,1.322,0.896,0.943,0.945,0.601
194,1.192,0.533,1.325,0.897,0.943,0.945,0.602
195,1.170,0.524,1.313,0.897,0.943,0.946,0.602
196,1.177,0.528,1.318,0.897,0.943,0.945,0.602
197,1.181,0.523,1.316,0.898,0.943,0.946,0.602
198,1.178,0.524,1.321,0.898,0.942,0.945,0.602
199,1.184,0.529,1.320,0.898,0.942,0.946,0.602
200,1.176,0.526,1.320,0.899,0.941,0.946,0.601
201,1.175,0.525,1.321,0.900,0.940,0.946,0.601
202,1.176,0.525,1.317,0.900,0.941,0.947,0.602
203,1.175,0.525,1.315,0.900,0.940,0.946,0.602
204,1.168,0.524,1.317,0.900,0.940,0.947,0.602
205,1.170,0.521,1.310,0.900,0.940,0.947,0.602
206,1.170,0.521,1.314,0.901,0.940,0.947,0.603
207,1.162,0.518,1.309,0.901,0.940,0.948,0.603
208,1.168,0.520,1.307,0.900,0.940,0.948,0.604
209,1.172,0.522,1.315,0.902,0.938,0.948,0.604
210,1.168,0.521,1.311,0.901,0.939,0.948,0.605
